Dataglove Experiment Tue Sep 25 17:00:17 2018
USB0 DG5U_Right RightHand	1

event	var	l_thumb	l_index	l_middle	l_ring	l_little	r_thumb	r_index	r_middle	r_ring	r_little	time
glove	1	0	0	0	0	0	3667	3937	4067	3749	3657	400701
glove	1	0	0	0	0	0	3667	3938	4066	3745	3654	400721
glove	1	0	0	0	0	0	3667	3940	4066	3743	3652	400741
glove	1	0	0	0	0	0	3668	3944	4066	3740	3651	400761
glove	1	0	0	0	0	0	3668	3939	4066	3737	3650	400781
glove	1	0	0	0	0	0	3668	3941	4066	3733	3646	400801
glove	1	0	0	0	0	0	3668	3941	4066	3732	3645	400821
glove	1	0	0	0	0	0	3668	3942	4065	3731	3643	400841
glove	1	0	0	0	0	0	3668	3943	4065	3731	3642	400861
glove	1	0	0	0	0	0	3668	3944	4065	3730	3641	400881
glove	1	0	0	0	0	0	3668	3946	4065	3729	3641	400901
glove	1	0	0	0	0	0	3668	3947	4065	3727	3639	400921
glove	1	0	0	0	0	0	3668	3948	4065	3727	3639	400941
glove	1	0	0	0	0	0	3669	3950	4065	3726	3638	400961
glove	1	0	0	0	0	0	3670	3951	4065	3726	3638	400981
glove	1	0	0	0	0	0	3670	3953	4065	3725	3638	401001
glove	1	0	0	0	0	0	3671	3954	4065	3725	3638	401021
glove	1	0	0	0	0	0	3671	3955	4065	3725	3638	401041
glove	1	0	0	0	0	0	3672	3956	4065	3724	3638	401061
glove	1	0	0	0	0	0	3673	3958	4065	3724	3638	401081
glove	1	0	0	0	0	0	3674	3959	4065	3724	3638	401101
glove	1	0	0	0	0	0	3674	3959	4065	3724	3638	401121
glove	1	0	0	0	0	0	3675	3959	4065	3724	3638	401141
glove	1	0	0	0	0	0	3676	3959	4065	3724	3638	401161
glove	1	0	0	0	0	0	3676	3959	4066	3724	3638	401181
glove	1	0	0	0	0	0	3677	3960	4065	3724	3638	401201
glove	1	0	0	0	0	0	3677	3960	4066	3724	3638	401221
glove	1	0	0	0	0	0	3677	3960	4065	3724	3638	401241
glove	1	0	0	0	0	0	3677	3960	4066	3725	3638	401261
glove	1	0	0	0	0	0	3677	3960	4065	3724	3638	401281
glove	1	0	0	0	0	0	3677	3960	4066	3724	3638	401301
glove	1	0	0	0	0	0	3677	3959	4066	3724	3638	401321
glove	1	0	0	0	0	0	3677	3959	4066	3724	3638	401341
glove	1	0	0	0	0	0	3677	3959	4066	3725	3638	401361
glove	1	0	0	0	0	0	3677	3959	4066	3724	3638	401381
glove	1	0	0	0	0	0	3678	3959	4066	3724	3638	401401
glove	1	0	0	0	0	0	3678	3958	4066	3724	3638	401421
glove	1	0	0	0	0	0	3677	3958	4066	3724	3638	401441
glove	1	0	0	0	0	0	3677	3958	4066	3724	3638	401461
glove	1	0	0	0	0	0	3677	3958	4066	3724	3638	401481
glove	1	0	0	0	0	0	3677	3958	4066	3724	3638	401501
glove	1	0	0	0	0	0	3677	3958	4066	3724	3638	401521
glove	1	0	0	0	0	0	3677	3957	4066	3724	3638	401541
